customer_id,age,credit_score,annual_income,debt_to_income,loan_amount,loan_term_months,employment_years,num_credit_accounts,num_late_payments,num_inquiries_6m,utilization_rate,has_mortgage,has_auto_loan,account_age_months,loan_purpose,employment_status,region,loan_to_income,monthly_payment_est,payment_to_income,risk_exposure,payment_history_score,credit_mix_score,inquiry_penalty,stability_score,composite_risk_score,credit_score_band,defaulted
FIN_000059,48,721,18917,0.1334,18251,36,0,13,1,1,0.7097,1,1,237,Auto,Employed,Southwest,0.9648,506.97,0.3216,2434.68,0.5,1.0,0.2,0.6,0.6902,Good,0
FIN_000060,67,635,107317,0.1065,17176,48,5,3,1,2,0.2056,1,0,165,Business,Self-Employed,Midwest,0.16,357.83,0.04,1829.24,0.5,0.3,0.4,0.8,0.7469,Fair,0
FIN_000061,27,802,61541,0.0399,17822,36,3,13,1,3,0.6455,0,0,18,Auto,Self-Employed,Southeast,0.2896,495.06,0.0965,711.1,0.5,1.0,0.6,0.165,0.6833,Exceptional,0
FIN_000062,64,356,22116,0.1034,37063,48,3,2,0,3,0.2424,0,0,153,Medical,Employed,Southwest,1.6758,772.15,0.419,3832.31,1.0,0.2,0.6,0.42,0.6886,Very Poor,0
FIN_000063,28,375,37358,0.1276,61324,48,8,4,1,1,0.6404,1,0,96,Debt Consolidation,Employed,Southwest,1.6415,1277.58,0.4104,7824.94,0.5,0.4,0.2,0.86,0.6154,Very Poor,0
FIN_000064,67,765,69162,0.0677,5886,12,4,17,1,3,0.3846,1,0,197,Auto,Self-Employed,Southwest,0.0851,490.5,0.0851,398.48,0.5,1.0,0.6,0.76,0.7786,Very Good,0
FIN_000065,55,584,121390,0.205,5139,12,2,11,2,0,0.2735,1,1,104,Auto,Employed,Midwest,0.0423,428.25,0.0423,1053.49,0.3333,1.0,0.0,0.64,0.6402,Fair,0
FIN_000066,34,685,58244,0.0884,56925,84,1,5,0,4,0.5266,0,0,82,Business,Employed,Midwest,0.9774,677.68,0.1396,5032.17,1.0,0.5,0.8,0.245,0.7538,Good,0
FIN_000067,37,558,76337,0.6131,39088,84,3,19,3,1,0.2787,0,1,212,Medical,Employed,Southeast,0.512,465.33,0.0731,23964.85,0.25,1.0,0.2,0.42,0.4788,Very Poor,0
FIN_000068,56,776,131771,0.144,7008,36,19,13,4,1,0.5319,0,0,19,Home Improvement,Employed,Midwest,0.0532,194.67,0.0177,1009.15,0.2,1.0,0.2,0.4475,0.6418,Very Good,0
FIN_000069,70,310,128064,0.2917,42412,36,3,9,0,2,0.5022,0,0,38,Auto,Employed,Northeast,0.3312,1178.11,0.1104,12371.58,1.0,0.9,0.4,0.215,0.5685,Very Poor,0
FIN_000070,60,559,57426,0.0847,5061,84,8,3,1,1,0.4359,1,0,231,Home Improvement,Employed,West,0.0881,60.25,0.0126,428.67,0.5,0.3,0.2,0.92,0.7205,Very Poor,0
FIN_000071,24,692,72793,0.3384,3787,84,2,17,0,2,0.6504,0,0,238,Business,Retired,West,0.052,45.08,0.0074,1281.52,1.0,1.0,0.4,0.38,0.7016,Good,0
FIN_000072,22,668,27248,0.3045,5773,12,2,5,0,0,0.6797,1,1,131,Medical,Self-Employed,Northeast,0.2119,481.08,0.2119,1757.88,1.0,0.5,0.0,0.68,0.7437,Fair,0
FIN_000073,26,483,47528,0.567,52516,48,5,4,1,1,0.2146,0,1,238,Business,Employed,Southwest,1.1049,1094.08,0.2762,29776.57,0.5,0.4,0.2,0.5,0.5323,Very Poor,1
FIN_000074,74,315,62558,0.3748,9870,84,0,14,2,1,0.3365,1,0,78,Debt Consolidation,Employed,Northeast,0.1578,117.5,0.0225,3699.28,0.3333,1.0,0.2,0.495,0.4747,Very Poor,1
FIN_000075,62,805,38115,0.3759,7563,12,3,15,2,4,0.705,1,0,42,Debt Consolidation,Retired,Northeast,0.1984,630.25,0.1984,2842.93,0.3333,1.0,0.8,0.525,0.6151,Exceptional,0
FIN_000076,24,385,22113,0.0666,11329,24,5,9,2,1,0.7131,0,0,83,Auto,Employed,Midwest,0.5123,472.04,0.2562,754.51,0.3333,0.9,0.2,0.4075,0.5257,Very Poor,0
FIN_000077,74,309,47870,0.3526,24382,24,6,2,1,3,0.2645,1,0,234,Home Improvement,Employed,Northeast,0.5093,1015.92,0.2547,8597.09,0.5,0.2,0.6,0.84,0.5705,Very Poor,0
FIN_000078,49,776,16966,0.0997,22828,24,0,19,1,4,0.4506,0,0,188,Business,Employed,Midwest,1.3455,951.17,0.6728,2275.95,0.5,1.0,0.8,0.3,0.6989,Very Good,0
FIN_000079,38,463,121305,0.2179,4518,84,3,19,2,0,0.5292,0,0,225,Auto,Self-Employed,Southeast,0.0372,53.79,0.0053,984.47,0.3333,1.0,0.0,0.42,0.5357,Very Poor,1
FIN_000080,46,323,47363,0.3703,6763,84,2,12,0,4,0.293,1,0,114,Debt Consolidation,Self-Employed,Northeast,0.1428,80.51,0.0204,2504.34,1.0,1.0,0.8,0.665,0.6419,Very Poor,1
FIN_000081,64,611,92728,0.5176,16404,36,12,1,0,2,0.874,0,1,52,Home Improvement,Business Owner,Northeast,0.1769,455.67,0.059,8490.71,1.0,0.1,0.4,0.53,0.6283,Fair,0
FIN_000082,54,537,28920,0.2012,8862,60,0,18,1,1,0.4718,1,0,206,Medical,Self-Employed,Southwest,0.3064,147.7,0.0613,1783.03,0.5,1.0,0.2,0.6,0.632,Very Poor,0
FIN_000083,30,761,36249,0.0939,7566,48,4,17,0,0,0.433,0,0,160,Medical,Employed,Southwest,0.2087,157.62,0.0522,710.45,1.0,1.0,0.0,0.46,0.8208,Very Good,0
FIN_000084,56,761,69742,0.1641,7073,24,2,11,1,1,0.6463,1,1,206,Debt Consolidation,Employed,Midwest,0.1014,294.71,0.0507,1160.68,0.5,1.0,0.2,0.68,0.7149,Very Good,0
FIN_000085,34,537,120058,0.3521,15304,60,3,6,2,1,0.2972,0,0,43,Medical,Retired,Southeast,0.1275,255.07,0.0255,5388.54,0.3333,0.6,0.2,0.2275,0.5226,Very Poor,0
FIN_000086,51,321,54804,0.4351,5696,12,21,19,1,0,0.3317,0,0,206,Auto,Employed,Southwest,0.1039,474.67,0.1039,2478.33,0.5,1.0,0.0,0.7,0.5263,Very Poor,0
FIN_000087,68,479,29848,0.1425,5293,12,16,19,0,1,0.3211,1,0,196,Debt Consolidation,Self-Employed,Midwest,0.1773,441.08,0.1773,754.25,1.0,1.0,0.2,1.0,0.8013,Very Poor,0
FIN_000088,35,798,82807,0.1122,3674,48,4,19,0,4,0.6541,0,0,21,Auto,Employed,Southwest,0.0444,76.54,0.0111,412.22,1.0,1.0,0.8,0.2125,0.7701,Very Good,0
FIN_000089,28,774,25778,0.3222,12898,60,2,10,1,0,0.5117,0,0,49,Business,Employed,Southwest,0.5003,214.97,0.1001,4155.74,0.5,1.0,0.0,0.2025,0.6218,Very Good,0
FIN_000090,34,638,107062,0.6359,64349,24,1,9,2,3,0.5803,1,1,59,Auto,Employed,Midwest,0.601,2681.21,0.3005,40919.53,0.3333,0.9,0.6,0.4875,0.498,Fair,1
FIN_000091,43,830,92691,0.3478,4787,24,2,15,0,2,0.6125,1,0,12,Medical,Employed,Northeast,0.0516,199.46,0.0258,1664.92,1.0,1.0,0.4,0.41,0.7562,Exceptional,0
FIN_000092,60,461,31103,0.2622,26601,84,7,11,3,3,0.4199,0,0,100,Business,Business Owner,West,0.8553,316.68,0.1222,6974.78,0.25,1.0,0.6,0.53,0.5347,Very Poor,1
FIN_000093,41,360,45487,0.2143,23022,84,10,10,2,2,0.2813,0,0,139,Auto,Employed,Southwest,0.5061,274.07,0.0723,4933.61,0.3333,1.0,0.4,0.7,0.567,Very Poor,1
FIN_000094,36,384,36077,0.207,16355,84,8,10,0,1,0.4042,0,1,44,Business,Self-Employed,Midwest,0.4533,194.7,0.0648,3385.48,1.0,1.0,0.2,0.43,0.6579,Very Poor,0
FIN_000095,65,846,61583,0.1767,8672,48,14,16,0,3,0.2334,0,0,69,Debt Consolidation,Employed,Midwest,0.1408,180.67,0.0352,1532.34,1.0,1.0,0.6,0.5725,0.8669,Exceptional,0
FIN_000096,38,789,64966,0.1724,23999,84,0,17,2,2,0.5748,0,1,115,Home Improvement,Self-Employed,Southwest,0.3694,285.7,0.0528,4137.43,0.3333,1.0,0.4,0.2875,0.6377,Very Good,0
FIN_000097,67,304,17519,0.2001,59524,48,2,3,0,1,0.4902,0,0,214,Auto,Employed,Southeast,3.3977,1240.08,0.8494,11910.75,1.0,0.3,0.2,0.38,0.6152,Very Poor,1
FIN_000098,73,375,66914,0.2571,10152,12,1,15,0,0,0.2538,0,0,32,Auto,Self-Employed,Northeast,0.1517,846.0,0.1517,2610.08,1.0,1.0,0.0,0.12,0.6107,Very Poor,0
FIN_000099,44,552,46223,0.0875,5592,36,6,4,1,0,0.2462,0,1,233,Business,Employed,West,0.121,155.33,0.0403,489.3,0.5,0.4,0.0,0.54,0.6793,Very Poor,0
FIN_000100,46,306,23598,0.0185,30070,84,7,5,2,0,0.569,0,0,107,Medical,Self-Employed,West,1.2743,357.98,0.182,556.29,0.3333,0.5,0.0,0.5475,0.5453,Very Poor,0
FIN_000101,45,772,70681,0.1918,10040,48,4,16,1,0,0.3101,1,0,193,Business,Employed,West,0.142,209.17,0.0355,1925.67,0.5,1.0,0.0,0.76,0.7575,Very Good,0
FIN_000102,65,437,126817,0.2576,13309,24,3,5,2,3,0.6696,1,1,76,Business,Employed,Southwest,0.1049,554.54,0.0525,3428.4,0.3333,0.5,0.6,0.61,0.531,Very Poor,0
FIN_000103,61,657,52376,0.4334,7841,36,2,2,2,1,0.5168,1,1,91,Debt Consolidation,Employed,Northeast,0.1497,217.81,0.0499,3398.29,0.3333,0.2,0.2,0.6075,0.5796,Fair,0
FIN_000104,49,462,113368,0.1543,50594,12,3,12,0,1,0.3851,1,0,81,Medical,Employed,Southwest,0.4463,4216.17,0.4463,7806.65,1.0,1.0,0.2,0.6225,0.7293,Very Poor,1
FIN_000105,35,617,80223,0.2084,21023,48,0,13,1,2,0.2454,0,1,122,Home Improvement,Employed,Midwest,0.2621,437.98,0.0655,4381.19,0.5,1.0,0.4,0.3,0.6361,Fair,0
FIN_000106,65,757,80773,0.4722,30313,12,5,11,0,1,0.185,0,0,163,Medical,Employed,Southeast,0.3753,2526.08,0.3753,14313.8,1.0,1.0,0.2,0.5,0.7556,Very Good,0
FIN_000107,21,552,64797,0.1371,8480,48,2,19,1,0,0.5776,0,0,108,Business,Retired,Southeast,0.1309,176.67,0.0327,1162.61,0.5,1.0,0.0,0.35,0.6053,Very Poor,0
FIN_000108,45,500,42928,0.4043,7101,24,15,6,0,0,0.3472,1,1,234,Home Improvement,Employed,Northeast,0.1654,295.88,0.0827,2870.93,1.0,0.6,0.0,1.0,0.7407,Very Poor,0
FIN_000109,27,831,31408,0.4814,18374,84,0,9,2,3,0.3403,0,1,120,Auto,Employed,Southeast,0.585,218.74,0.0836,8845.24,0.3333,0.9,0.6,0.3,0.6006,Exceptional,0
FIN_000110,29,464,310224,0.531,34890,36,4,7,1,2,0.4466,0,1,52,Home Improvement,Employed,Midwest,0.1125,969.17,0.0375,18526.59,0.5,0.7,0.4,0.29,0.4799,Very Poor,1
FIN_000111,44,531,54372,0.03,8675,60,9,2,2,0,0.2598,0,0,217,Medical,Employed,Midwest,0.1595,144.58,0.0319,260.25,0.3333,0.2,0.0,0.66,0.6696,Very Poor,0
FIN_000112,21,627,53762,0.5216,11238,84,10,17,1,3,0.5918,0,1,105,Home Improvement,Employed,Southeast,0.209,133.79,0.0299,5861.74,0.5,1.0,0.6,0.6625,0.5811,Fair,0
FIN_000113,64,537,94072,0.3253,2181,60,13,15,4,2,0.1139,0,0,34,Business,Self-Employed,Midwest,0.0232,36.35,0.0046,709.48,0.2,1.0,0.4,0.485,0.5596,Very Poor,1
FIN_000114,28,419,15738,0.0883,6353,24,2,4,1,2,0.283,0,0,38,Medical,Employed,Southeast,0.4037,264.71,0.2018,560.97,0.5,0.4,0.4,0.175,0.5738,Very Poor,0
FIN_000115,44,549,69247,0.1873,7455,12,0,12,1,3,0.5343,1,0,160,Auto,Employed,Southwest,0.1077,621.25,0.1077,1396.32,0.5,1.0,0.6,0.6,0.6335,Very Poor,0
FIN_000116,31,635,110049,0.079,39147,36,11,15,1,6,0.1658,0,1,33,Home Improvement,Employed,Southeast,0.3557,1087.42,0.1186,3092.61,0.5,1.0,1.0,0.4825,0.7102,Fair,0
FIN_000117,71,583,108365,0.1856,1357,36,3,13,3,1,0.5498,0,0,100,Medical,Employed,Southeast,0.0125,37.69,0.0042,251.86,0.25,1.0,0.2,0.37,0.5599,Fair,0
FIN_000118,37,497,69142,0.2829,12346,48,4,18,0,1,0.1298,1,0,23,Medical,Employed,Southeast,0.1786,257.21,0.0446,3492.68,1.0,1.0,0.2,0.5175,0.7193,Very Poor,0
FIN_000119,28,715,26804,0.1352,7251,84,4,13,0,2,0.229,1,0,124,Debt Consolidation,Employed,Midwest,0.2705,86.32,0.0386,980.34,1.0,1.0,0.4,0.76,0.8597,Good,0
FIN_000120,55,694,84063,0.0411,7434,48,0,14,1,1,0.5234,1,1,209,Medical,Self-Employed,Northeast,0.0884,154.88,0.0221,305.54,0.5,1.0,0.2,0.6,0.7223,Good,0
FIN_000121,55,450,25172,0.0697,24108,12,11,5,3,0,0.6934,0,1,186,Auto,Self-Employed,Midwest,0.9577,2009.0,0.9577,1680.33,0.25,0.5,0.0,0.7,0.5771,Very Poor,0
FIN_000122,53,564,121096,0.1393,27332,60,3,11,2,0,0.298,0,1,224,Home Improvement,Employed,Southeast,0.2257,455.53,0.0451,3807.35,0.3333,1.0,0.0,0.42,0.6141,Very Poor,1
FIN_000123,25,519,78337,0.3181,4520,24,2,3,1,1,0.4994,1,1,130,Home Improvement,Business Owner,West,0.0577,188.33,0.0288,1437.81,0.5,0.3,0.2,0.68,0.6057,Very Poor,0
FIN_000124,62,515,39062,0.2805,7709,36,4,4,0,1,0.0962,1,1,179,Business,Retired,Southeast,0.1974,214.14,0.0658,2162.37,1.0,0.4,0.2,0.76,0.766,Very Poor,1
FIN_000125,59,614,93682,0.5821,33782,24,1,18,0,0,0.2646,1,1,99,Debt Consolidation,Employed,Southwest,0.3606,1407.58,0.1803,19664.5,1.0,1.0,0.0,0.5875,0.6828,Fair,1
FIN_000126,61,515,44685,0.3631,18545,48,2,1,1,1,0.0706,0,0,114,Business,Self-Employed,Southwest,0.415,386.35,0.1038,6733.69,0.5,0.1,0.2,0.365,0.5887,Very Poor,0
FIN_000127,48,634,52048,0.1344,5409,60,4,11,0,1,0.5363,0,1,133,Debt Consolidation,Employed,West,0.1039,90.15,0.0208,726.97,1.0,1.0,0.2,0.46,0.7555,Fair,0
FIN_000128,27,658,75567,0.4988,10692,12,16,10,1,0,0.232,1,0,193,Medical,Employed,Southwest,0.1415,891.0,0.1415,5333.17,0.5,1.0,0.0,1.0,0.6843,Fair,0
FIN_000129,29,460,47508,0.3855,8114,48,2,1,1,0,0.7576,0,0,31,Debt Consolidation,Self-Employed,Midwest,0.1708,169.04,0.0427,3127.95,0.5,0.1,0.0,0.1575,0.4638,Very Poor,1
